CutTableBySelection,Measure Names,Measure Values
CAS 2018-R07 G1,Florence FEMA UPB (%),0.011211161
CAS 2018-C06 G2,Florence FEMA UPB (%),0.005905665
CAS 2018-C06 G1,Florence FEMA UPB (%),0.003738554
CAS 2018-C05 G1,Florence FEMA UPB (%),0.010492535
CAS 2018-C04 G2,Florence FEMA UPB (%),0.013286137
CAS 2018-C03 G1,Florence FEMA UPB (%),0.010818880
CAS 2018-C02 G2,Florence FEMA UPB (%),0.013997368
CAS 2018-C01 G1,Florence FEMA UPB (%),0.013083842
CAS 2017-C07 G2,Florence FEMA UPB (%),0.017588732
CAS 2017-C07 G1,Florence FEMA UPB (%),0.013045025
CAS 2017-C06 G2,Florence FEMA UPB (%),0.014212539
CAS 2017-C06 G1,Florence FEMA UPB (%),0.010848779
CAS 2017-C05 G1,Florence FEMA UPB (%),0.010088911
CAS 2017-C04 G2,Florence FEMA UPB (%),0.013614884
CAS 2017-C03 G1,Florence FEMA UPB (%),0.011510796
CAS 2017-C02 G2,Florence FEMA UPB (%),0.012633403
CAS 2017-C01 G1,Florence FEMA UPB (%),0.009605684
CAS 2016-C07 G2,Florence FEMA UPB (%),0.012411460
CAS 2016-C06 G1,Florence FEMA UPB (%),0.011353216
CAS 2016-C05 G2,Florence FEMA UPB (%),0.013245518
CAS 2016-C04 G1,Florence FEMA UPB (%),0.010197793
CAS 2016-C03 G2,Florence FEMA UPB (%),0.011349055
CAS 2016-C03 G1,Florence FEMA UPB (%),0.010212360
CAS 2016-C02 G1,Florence FEMA UPB (%),0.008267509
CAS 2016-C01 G2,Florence FEMA UPB (%),0.012603129
CAS 2016-C01 G1,Florence FEMA UPB (%),0.009012336
CAS 2015-C04 G2,Florence FEMA UPB (%),0.012030585
CAS 2015-C04 G1,Florence FEMA UPB (%),0.010184639
CAS 2015-C03 G2,Florence FEMA UPB (%),0.011328349
CAS 2015-C03 G1,Florence FEMA UPB (%),0.010916880
CAS 2015-C02 G2,Florence FEMA UPB (%),0.011410145
CAS 2015-C02 G1,Florence FEMA UPB (%),0.009856615
CAS 2015-C01 G2,Florence FEMA UPB (%),0.012563151
CAS 2015-C01 G1,Florence FEMA UPB (%),0.011023272
CAS 2014-C04 G2,Florence FEMA UPB (%),0.010478737
CAS 2014-C04 G1,Florence FEMA UPB (%),0.009296452
CAS 2014-C03 G2,Florence FEMA UPB (%),0.008823398
CAS 2014-C03 G1,Florence FEMA UPB (%),0.008038626
CAS 2014-C02 G2,Florence FEMA UPB (%),0.009692098
CAS 2014-C02 G1,Florence FEMA UPB (%),0.007830692
CAS 2014-C01,Florence FEMA UPB (%),0.007654196
CAS 2013-C01,Florence FEMA UPB (%),0.007559741
CAS 2020-R02 G2,California (%),8.968326113
CAS 2020-R01 G1,California (%),15.948802819
CAS 2019-R07 G1,California (%),15.165286650
CAS 2019-R06 G2,California (%),8.214826750
CAS 2019-R05 G1,California (%),13.198204293
CAS 2019-R04 G2,California (%),6.993893924
CAS 2019-R03 G1,California (%),12.599198750
CAS 2019-R02 G1,California (%),13.522503622
CAS 2019-R01 G2,California (%),6.745714649
CAS 2019-HRP1,California (%),16.852473942
CAS 2018-R07 G1,California (%),15.219442751
CAS 2018-C06 G2,California (%),8.429286615
CAS 2018-C06 G1,California (%),17.694168488
CAS 2018-C05 G1,California (%),17.304404699
